======================================================================
NEURAL CRYPTOGRAPHY TRAINING RESULTS
======================================================================

Hyperparameters
Epochs      : 1000
Batch Size  : 256
Message Len : 64
Key Len     : 64
Learning Rate : 0.0008

Epoch 0043 | Bob=0.5007 | Eve=0.5007 | Gap=0.0000 | BobLoss=1.0029 | EveLoss=0.9951 | ABLoss=1.0029 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0044 | Bob=0.4971 | Eve=0.4971 | Gap=0.0000 | BobLoss=0.9947 | EveLoss=0.9976 | ABLoss=0.9947 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0045 | Bob=0.5040 | Eve=0.5040 | Gap=0.0000 | BobLoss=1.0077 | EveLoss=0.9983 | ABLoss=1.0077 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0046 | Bob=0.4946 | Eve=0.4946 | Gap=0.0000 | BobLoss=1.0005 | EveLoss=1.0002 | ABLoss=1.0005 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0047 | Bob=0.5010 | Eve=0.5010 | Gap=0.0000 | BobLoss=0.9981 | EveLoss=1.0020 | ABLoss=0.9981 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0048 | Bob=0.4968 | Eve=0.4968 | Gap=0.0000 | BobLoss=1.0001 | EveLoss=1.0007 | ABLoss=1.0001 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0049 | Bob=0.4988 | Eve=0.4988 | Gap=0.0000 | BobLoss=0.9944 | EveLoss=1.0010 | ABLoss=0.9944 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0050 | Bob=0.5002 | Eve=0.5002 | Gap=0.0000 | BobLoss=1.0078 | EveLoss=1.0003 | ABLoss=1.0078 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0051 | Bob=0.5084 | Eve=0.5084 | Gap=0.0000 | BobLoss=0.9970 | EveLoss=1.0015 | ABLoss=0.9970 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0052 | Bob=0.4995 | Eve=0.4995 | Gap=0.0000 | BobLoss=1.0005 | EveLoss=0.9965 | ABLoss=1.0005 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0053 | Bob=0.4935 | Eve=0.4935 | Gap=0.0000 | BobLoss=1.0009 | EveLoss=0.9993 | ABLoss=1.0009 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0054 | Bob=0.4971 | Eve=0.4971 | Gap=0.0000 | BobLoss=1.0041 | EveLoss=0.9977 | ABLoss=1.0041 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0055 | Bob=0.4929 | Eve=0.4929 | Gap=0.0000 | BobLoss=0.9977 | EveLoss=0.9984 | ABLoss=0.9977 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0056 | Bob=0.4980 | Eve=0.4980 | Gap=0.0000 | BobLoss=0.9927 | EveLoss=0.9982 | ABLoss=0.9927 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0057 | Bob=0.4992 | Eve=0.4992 | Gap=0.0000 | BobLoss=0.9973 | EveLoss=1.0000 | ABLoss=0.9973 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0058 | Bob=0.4984 | Eve=0.4984 | Gap=0.0000 | BobLoss=0.9963 | EveLoss=0.9994 | ABLoss=0.9963 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0059 | Bob=0.5025 | Eve=0.5025 | Gap=0.0000 | BobLoss=1.0035 | EveLoss=1.0005 | ABLoss=1.0035 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0060 | Bob=0.4972 | Eve=0.4972 | Gap=0.0000 | BobLoss=1.0033 | EveLoss=0.9976 | ABLoss=1.0033 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0061 | Bob=0.4969 | Eve=0.4969 | Gap=0.0000 | BobLoss=1.0015 | EveLoss=1.0013 | ABLoss=1.0015 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0062 | Bob=0.4949 | Eve=0.4949 | Gap=0.0000 | BobLoss=0.9998 | EveLoss=1.0018 | ABLoss=0.9998 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0063 | Bob=0.5032 | Eve=0.5032 | Gap=0.0000 | BobLoss=0.9987 | EveLoss=0.9957 | ABLoss=0.9987 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0064 | Bob=0.5045 | Eve=0.5045 | Gap=0.0000 | BobLoss=1.0044 | EveLoss=0.9998 | ABLoss=1.0044 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0065 | Bob=0.5020 | Eve=0.5020 | Gap=0.0000 | BobLoss=0.9969 | EveLoss=0.9972 | ABLoss=0.9969 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0066 | Bob=0.5028 | Eve=0.5028 | Gap=0.0000 | BobLoss=0.9983 | EveLoss=1.0031 | ABLoss=0.9983 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0067 | Bob=0.4969 | Eve=0.4969 | Gap=0.0000 | BobLoss=0.9999 | EveLoss=0.9993 | ABLoss=0.9999 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0068 | Bob=0.4927 | Eve=0.4927 | Gap=0.0000 | BobLoss=1.0037 | EveLoss=0.9968 | ABLoss=1.0037 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0069 | Bob=0.5026 | Eve=0.5026 | Gap=0.0000 | BobLoss=1.0025 | EveLoss=1.0030 | ABLoss=1.0025 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0070 | Bob=0.4985 | Eve=0.4985 | Gap=0.0000 | BobLoss=1.0000 | EveLoss=0.9979 | ABLoss=1.0000 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0071 | Bob=0.5032 | Eve=0.5032 | Gap=0.0000 | BobLoss=1.0003 | EveLoss=1.0011 | ABLoss=1.0003 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0072 | Bob=0.5022 | Eve=0.5022 | Gap=0.0000 | BobLoss=0.9975 | EveLoss=1.0013 | ABLoss=0.9975 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0073 | Bob=0.4962 | Eve=0.4962 | Gap=0.0000 | BobLoss=1.0048 | EveLoss=1.0027 | ABLoss=1.0048 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0074 | Bob=0.5022 | Eve=0.5022 | Gap=0.0000 | BobLoss=1.0058 | EveLoss=1.0015 | ABLoss=1.0058 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0075 | Bob=0.4995 | Eve=0.4995 | Gap=0.0000 | BobLoss=1.0004 | EveLoss=1.0016 | ABLoss=1.0004 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0076 | Bob=0.4981 | Eve=0.4981 | Gap=0.0000 | BobLoss=0.9955 | EveLoss=0.9962 | ABLoss=0.9955 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0077 | Bob=0.4926 | Eve=0.4926 | Gap=0.0000 | BobLoss=1.0023 | EveLoss=1.0039 | ABLoss=1.0023 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0078 | Bob=0.4994 | Eve=0.4994 | Gap=0.0000 | BobLoss=0.9933 | EveLoss=1.0018 | ABLoss=0.9933 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0079 | Bob=0.5027 | Eve=0.5027 | Gap=0.0000 | BobLoss=1.0035 | EveLoss=0.9986 | ABLoss=1.0035 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0080 | Bob=0.4994 | Eve=0.4994 | Gap=0.0000 | BobLoss=0.9992 | EveLoss=0.9999 | ABLoss=0.9992 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0081 | Bob=0.4976 | Eve=0.4976 | Gap=0.0000 | BobLoss=0.9999 | EveLoss=0.9999 | ABLoss=0.9999 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0082 | Bob=0.4937 | Eve=0.4937 | Gap=0.0000 | BobLoss=1.0012 | EveLoss=0.9945 | ABLoss=1.0013 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0083 | Bob=0.5001 | Eve=0.5001 | Gap=0.0000 | BobLoss=0.9990 | EveLoss=0.9991 | ABLoss=0.9990 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0084 | Bob=0.5011 | Eve=0.5011 | Gap=0.0000 | BobLoss=0.9995 | EveLoss=0.9968 | ABLoss=0.9995 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0085 | Bob=0.5044 | Eve=0.5044 | Gap=0.0000 | BobLoss=1.0037 | EveLoss=1.0002 | ABLoss=1.0037 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0086 | Bob=0.5001 | Eve=0.5001 | Gap=0.0000 | BobLoss=1.0024 | EveLoss=1.0002 | ABLoss=1.0024 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0087 | Bob=0.5026 | Eve=0.5026 | Gap=0.0000 | BobLoss=1.0013 | EveLoss=1.0019 | ABLoss=1.0013 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0088 | Bob=0.4960 | Eve=0.4960 | Gap=0.0000 | BobLoss=0.9967 | EveLoss=1.0010 | ABLoss=0.9967 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0089 | Bob=0.5098 | Eve=0.5098 | Gap=0.0000 | BobLoss=0.9981 | EveLoss=1.0021 | ABLoss=0.9981 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0090 | Bob=0.5039 | Eve=0.5039 | Gap=0.0000 | BobLoss=0.9973 | EveLoss=1.0015 | ABLoss=0.9973 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0091 | Bob=0.5035 | Eve=0.5035 | Gap=0.0000 | BobLoss=1.0049 | EveLoss=1.0002 | ABLoss=1.0049 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0092 | Bob=0.4980 | Eve=0.4980 | Gap=0.0000 | BobLoss=0.9984 | EveLoss=0.9962 | ABLoss=0.9984 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0093 | Bob=0.5054 | Eve=0.5054 | Gap=0.0000 | BobLoss=1.0053 | EveLoss=1.0016 | ABLoss=1.0053 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0094 | Bob=0.4993 | Eve=0.4993 | Gap=0.0000 | BobLoss=0.9915 | EveLoss=0.9986 | ABLoss=0.9915 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0095 | Bob=0.4942 | Eve=0.4942 | Gap=0.0000 | BobLoss=0.9992 | EveLoss=1.0007 | ABLoss=0.9992 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0096 | Bob=0.4869 | Eve=0.4869 | Gap=0.0000 | BobLoss=1.0012 | EveLoss=1.0036 | ABLoss=1.0012 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0097 | Bob=0.5017 | Eve=0.5017 | Gap=0.0000 | BobLoss=1.0051 | EveLoss=1.0001 | ABLoss=1.0051 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0098 | Bob=0.5004 | Eve=0.5004 | Gap=0.0000 | BobLoss=1.0013 | EveLoss=0.9947 | ABLoss=1.0014 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0099 | Bob=0.4985 | Eve=0.4985 | Gap=0.0000 | BobLoss=0.9945 | EveLoss=1.0001 | ABLoss=0.9945 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0100 | Bob=0.5024 | Eve=0.5024 | Gap=0.0000 | BobLoss=0.9975 | EveLoss=1.0024 | ABLoss=0.9975 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0101 | Bob=0.4942 | Eve=0.4942 | Gap=0.0000 | BobLoss=0.9965 | EveLoss=0.9983 | ABLoss=0.9966 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0102 | Bob=0.5043 | Eve=0.5043 | Gap=0.0000 | BobLoss=1.0030 | EveLoss=0.9997 | ABLoss=1.0030 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0103 | Bob=0.4990 | Eve=0.4990 | Gap=0.0000 | BobLoss=1.0039 | EveLoss=1.0040 | ABLoss=1.0039 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0104 | Bob=0.4973 | Eve=0.4973 | Gap=0.0000 | BobLoss=1.0015 | EveLoss=0.9996 | ABLoss=1.0015 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0105 | Bob=0.4998 | Eve=0.4998 | Gap=0.0000 | BobLoss=1.0015 | EveLoss=1.0028 | ABLoss=1.0015 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0106 | Bob=0.4996 | Eve=0.4996 | Gap=0.0000 | BobLoss=1.0025 | EveLoss=0.9997 | ABLoss=1.0025 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0107 | Bob=0.4954 | Eve=0.4954 | Gap=0.0000 | BobLoss=0.9971 | EveLoss=1.0003 | ABLoss=0.9971 | AB_STEPS=2 | EVE_STEPS=1
